sentences	sentence_id
В своей пропаганде нацисты постоянно подчеркивали, что сражаются за освобождение русского, украинского и белорусского народов от чужеродной власти коммунистов и евреев.	2015Pust_dolgim_budet_razgovor.xml_88
Расходный материал, завышенная норма потерь на маневрах.	2015Razvorot_nad_Atlantidoi.xml_82
Британские журналисты утверждают, что речь шла о десяти миллионах долларов в год, хотя документального подтверждения никто не нашел.	2015Rezhimnyi_subiekt.xml_25
Там он назвал свою фамилию и, сказав, что ему нужна рабочая сила для завода, заполнил грузовики заключенными.	2015Spiski_Shindlerov.xml_59
"Швейцарский вице-консул в Будапеште, получил от своего правительства 8 тысяч ""защитных паспортов"", в каждый из которых вписывал целую семью."	2015Spiski_Shindlerov.xml_170
Случается, покупатели расплачиваются за покупку банка выведенными из него деньгами.	2015Strakhovanie_vkladov_2.xml_90
"В Европе достаточно сланцевого газа, однако добыча его затруднена из-за европейской бюрократии и активизма ""зеленых"", которых, кстати, часто щедро финансирует Кремль."	2015Velikaya_neftegazovaya.xml_25
"В ""Акын-опере"" ситуация была иная."	2016Migranty_ekspaty_kosmopolity.xml_13
Он говорит, что не знает, что это за машина едет за ним, в его время таких не было, но по конструкции ясно, что не бензин везет.	2016Migranty_ekspaty_kosmopolity.xml_28
Вот моложавая Елена из Джезказгана, она немка по отцовской линии, но в доме по-немецки не говорили, у нее звонкий пионерский характер, она рассказывает, какие у них в городе были проспекты, как она была командиром отряда и мечтала быть космонавтом.	2016Migranty_ekspaty_kosmopolity.xml_31
Елена рассказывает, что у нее очень интересная работа в аэропорту, она отправляет российские и казахские рейсы.	2016Migranty_ekspaty_kosmopolity.xml_37
После спектакля Штефан Кэги рассказывает, что своим учителем считает учителя физики в школе, который умел объяснить то, что, казалось бы, понять невозможно.	2016Migranty_ekspaty_kosmopolity.xml_67
Естественно, сделать это очень сложно, потому что везде свои традиции, языки.	2016Slovo_ne_to_chem_kazhetsya.xml_109
Борис Иомдин.	2016Slovo_ne_to_chem_kazhetsya.xml_313
Вопросы подготовили Михаил Гельфанд и Ирина Левонтина.	2017Apresyan_1.xml_5
"Это была не инициатива масс, а поручение созданной в аппарате ЦК партии ""Группы по делам культурной революции""."	2017Kulturnaya_revolyutsiya.xml_15
Представитель СБУ заявил вечером в среду, что на самом деле специалисты рассматривают шесть версий.	2017Ubiistvo_Pavla_Sheremeta.xml_52
Путин открыто заявил, что структура уполномоченных нуждается в расширении своих процессуальных прав, так что будем надеяться, что защита прав предпринимателей очень скоро обретет новые инструменты.	2018Boris_Titov_i_1000_advokatov.xml_37
Тимофеев-Ресовский верил в Бога и на вопрос, откуда произошел человек, отвечал: это не нашего ума дело!	2018Interviyu_Granina_raznykh_let.xml_124
На самом деле в это время я что-нибудь изобретаю или, склонившись над машинкой, прислушиваюсь к телефону в другой комнате.	2018Nachalo.xml_299
Предложения из послания оформятся в указы после выборов, говорит еще один источник, знакомый с ходом обсуждений.	2018Novye_maiskie_ukazy.xml_6
Когда подписывались майские указы 2012 года, экономика была в лучшей форме, не было санкций, а курс рубля еще не упал, сказал в интервью РБК старший директор группы региональных финансов Fitch Владимир Редькин.	2018Novye_maiskie_ukazy.xml_8
Со ссылкой на данные Росстата издание рассказывает, что в 2017 году в брак вступили почти на 64 тысячи пар больше, чем в 2016-м.	2018Novye_maiskie_ukazy.xml_47
То и дело всплывает информация о том, что чиновники якобы уже решились на эту непопулярную меру и даже определили сроки, когда это произойдет.	2018Pensionnyi_vozrast.xml_4
Так, министр труда Максим Топилин заявил, что для этого пока не пришло время, поскольку в нашей стране не очень высокая средняя продолжительность жизни.	2018Pensionnyi_vozrast.xml_26
- Итак, - говорил он, - отвечай, знаешь ли ты некоего Иуду из Кириафа, и что именно ты говорил ему, если говорил, о кесаре?	2018Pontii_Pilat.xml_256
Я не могу их привлечь за ложь, но могу - за безответственность.	2018Roman_Pak_u_Granina.xml_61
Правительство сейчас заявило о том, что люди с большим стажем смогут выйти на пенсию на два года раньше.	2019Interviyu_Nazarova.xml_40
Говоря о ситуации в мире, он подчеркнул, что речь идет не просто о санкциях и давлении на Россию, которые лишь подтверждают масштабный сбой в мировой политике.	2019Medvedev_ostanetsya_s_partiei.xml_21
Господин Медведев подчеркнул, что Россия не будет заниматься самоизоляцией, как бы нас ни пытались вытеснить на обочину глобальной повестки дня.	2019Medvedev_ostanetsya_s_partiei.xml_22
"Первый заместитель главы администрации президента Сергей Кириенко заявил вчера ""РИА Новости"", что не знает, сильными ли будут изменения в структуре администрации президента."	2019Medvedev_ostanetsya_s_partiei.xml_45
11 апреля оппозиционер и глава Красносельского района Илья Яшин бросил вызов Сергею Собянину, заявив о своих планах участвовать в выборах мэра Москвы осенью 2018 года.	2019Obraztsovyi_oppozitsionnyi_kandidat.xml_2
Ты же только что сказал, что большее число кандидатов повышает шансы на второй тур.	2019Obraztsovyi_oppozitsionnyi_kandidat.xml_49
Если, например, будет выдвинута [глава Гагаринского района Елена] Русакова, это будет сильный претендент.	2019Obraztsovyi_oppozitsionnyi_kandidat.xml_166
Военный комиссар говорит, что я плохо исполнял свои обязанности.	2019Obraztsovyi_oppozitsionnyi_kandidat.xml_222
Я на первом заседании комиссии сказал, что приоритетом в своей работе считаю защиту прав призывников и обеспечение законности.	2019Obraztsovyi_oppozitsionnyi_kandidat.xml_224
- А ты? - пыталась наладить треснувший миропорядок Гаянэ.	2019Podkidysh.xml_375
"Студент Артем, пришедший на панихиду с друзьями, говорит, что такие сообщения тиражируются в различных пабликах, в том числе в самом крупном из них - ""Подслушано-Керчь"", на который подписано 45 тысяч человек."	2019Rasstrel_v_Kerchi.xml_10
Женщина говорит, что отец Владислава часто пил и избивал домочадцев.	2019Rasstrel_v_Kerchi.xml_79
В конце концов Галя взяла мальчика и ушла от него на съемную квартиру, в халупу, - говорит Ирина Моисеевна.	2019Rasstrel_v_Kerchi.xml_80
Готовить, стирать, мыть полы, воспитывать детей - все это, по мнению некоторых радикальных феминисток, преступление и порок, так как свидетельствует о мужчинах-эксплуататорах.	2019Sekta_radikalnogo_feminizma.xml_43
Выборы у вас пройдут, и обратно.	2020_Corpus2_0Gastronomicheskie_khroniki.xml_202
Но однажды она провела несколько дней в гостях у ливийского вождя - Муаммара Каддафи.	2020_Corpus2_0Gastronomicheskie_khroniki.xml_525
Публика была самая разношерстная.	2020_Corpus2_0Iz_zhizni_odnogo_ezha.xml_97
Стихи Басё, Иссы, Бусона и других классиков жанра я лишь бегло просмотрел.	2020_Corpus2_0Iz_zhizni_odnogo_ezha.xml_164
Когда он очнулся после операции, он видел прекрасно и без очков.	2020_Corpus2_0Kakie_nashi_gody_1.xml_10
В каждом номере была ванная комната, именно там Фазиль репетировал свою речь на конференции, проверяя по часам время, выделенное на выступление.	2020_Corpus2_0Kakie_nashi_gody_1.xml_17
Я честно выучила эту поэму, но перед Михаилом Ильичом Роммом она как-то не прошла.	2020_Corpus2_0Kakie_nashi_gody_1.xml_665
- Не боись, Пашок, она ж тебе не на горло намоталась, - подскочил к ассистенту Иван Иваныч.	2020_Corpus2_0Milaya_reptiliya.xml_236
Разумом, в том смысле, в каком мы сами его понимаем, обладаем, из всех миллионов видов населяющих планету животных, только мы - вероятность, вернее невероятность, очевидна с первого взгляда.	2020_Corpus2_0Muraviinyi_kosmos.xml_72
Мне кажется, что такой вывод слишком поспешен (большинству ученых тоже, но из других соображений).	2020_Corpus2_0Muraviinyi_kosmos.xml_87
- Вас ждет сюрприз, - предупредил папа и заперся в детской.	2020_Corpus2_0Papa-yumorist.xml_183
Не дай бог, с ним что случится - цивилизация тут же и кончится, вместе с виртуальным миром, в который все постепенно переселялись, а тут, из-за вирусной изоляции, произошла сингулярность.	2020_Corpus2_0Velikoe_pereselenie.xml_44
Вода из нее протекла на тепловыделяющую сборку, та тоже начала ржаветь, продукты коррозии заблокировали отвод тепла, урановая ячейка перегрелась, и активная зона частично расплавилась с нарушением герметичности корпуса реактора.	2020_Corpus2_0Yarkie_vospominaniya.xml_150
"На К-19 (неофициально же прозванная ""Хиросима"") авария с разрушением активной зоны реактора произошла в первом же походе."	2020_Corpus2_0Yarkie_vospominaniya.xml_162
О важности такого шага, в частности, говорил наш министр иностранных дел Сергей Лавров.	2020_RFFIGryadet_li_apokalipsis.xml_57
Недавно Индия провела испытание такого оружия, о чем публично заявил индийский премьер-министр Нарендра Моди, связав это с вопросом о приобретении Индией статуса космической державы.	2020_RFFIGryadet_li_apokalipsis.xml_98
Идет насыщение высокоточным дальнобойным оружием в неядерном оснащении, что крайне важно для материального обеспечения стратегического неядерного сдерживания.	2020_RFFIGryadet_li_apokalipsis.xml_140
"О такой войне министр обороны Сергей Шойгу в интервью ""МК"" недавно сказал так: неизвестно, какой будет третья мировая война, но можно с уверенностью судить, что она будет последней."	2020_RFFIGryadet_li_apokalipsis.xml_163
Очень хитрая рыба водится в Арафурском море.	2020_RFFIIndoneziya_ot_ada_do_raya.xml_41
Я предупреждала Глеба, что в море всякое случается… но чтоб такое!	2020_RFFIIndoneziya_ot_ada_do_raya.xml_56
Разумеется, никакого яхтклуба и яхт здесь не было, только рыбацкие лодочки, сделанные из всего, что под руку попало.	2020_RFFIIndoneziya_ot_ada_do_raya.xml_124
Айя-яй… - закивала медсестра и пригласила следовать за ней.	2020_RFFIIndoneziya_ot_ada_do_raya.xml_343
Наступила абсолютная тишина.	2020_RFFIInstrument_yazyka_2.xml_81
Он был настолько удручен, что даже не пытался прикрыться.	2020_RFFIInstrument_yazyka_2.xml_92
Кроме того, в России он скрывался от преследований Саддама Хусейна.	2020_RFFIInstrument_yazyka_2.xml_287
"Его не смутил пункт, скажем, 3, согласно которому ""64 PDF 11 были развернуты по всей сети Интернета и проверена чувствительность к эффекту ""византийского дефекта"""", ведь, как ни крути, это не противоречило пункту 4, констатировавшему, что было ""выполнено 18 попыток с имитируемой рабочей нагрузкой WHOIS и результаты сравнены с имитацией обучающего программного обеспечения""."	2020_RFFIInstrument_yazyka_2.xml_388
Она утверждала, что решение баллотироваться приняла еще осенью.	2020_RFFINyuta_Federmesser.xml_278
В апреле 2016 года Федермессер возглавила Центр паллиативной помощи московского департамента здравоохранения.	2020_RFFINyuta_Federmesser.xml_285
Эта тенденция, говорят эксперты, сохранится и в ближайшей перспективе.	2020_RFFIOgnev.xml_25
"Президент Путин осенью заявил, что ""пик кризиса в целом достигнут, и российская экономика приспособилась или уверенно приспосабливается к изменяющимся условиям жизни""."	2020_RFFIOgnev.xml_84
Владимир Путин говорил в Госдуме, будто стране это обошлось в 2 трлн рублей, а по расчетам академика Аганбегяна - в 16 трлн.	2020_RFFIOgnev.xml_96
Но в России такой традиции нет.	2020_RFFIOgnev.xml_123
"Не кто иной, как хозяин форума, глава ВТБ Андрей Костин в этом же зале высокомерно заявил: ""Если сегодня малый и средний бизнес не востребован в стране, то какой смысл их кредитовать?""."	2020_RFFIOgnev.xml_136
Напомню, что в свое время Маргарет Тэтчер предупреждала наших деятелей: смените модель экономики - для обслуживания трубопроводов России хватит 50 млн человек.	2020_RFFIOgnev.xml_190
И нынешний цикл короче не будет, говорят эксперты.	2020_RFFIOgnev.xml_272
"Вот и первый вице-премьер Шувалов недавно признал: у правительства нет ""реальных рычагов влияния на банковский менеджмент""."	2020_RFFIOgnev.xml_484
Между тем, утверждает крупный экономист Александр Аузан, декан экономфака МГУ, свои деньги на развитие в России есть.	2020_RFFIOgnev.xml_539
"Политолог Бруно Гроппо объясняет неприятие свободы ""травматическим опытом"" (завоевания, бунты, диктатура), закрепившимся в коллективной генетической памяти народа в качестве доминантных стереотипов."	2020_RFFITrudnosti_ponimaniya.xml_113
"""В результате последних событий ""Союз правых сил"" прекратил свое существование как оппозиционная демократическая партия"", - говорится в обращении Немцова и Милова."	2009Za_pravoe_delo.xml_7
"""Обычно мы так не делаем, но здесь, вы же понимаете, дело политическое"", - сказал ему следователь."	2009Zapretnoe_iskusstvo_2006.xml_4
"Как разъясняет следователь, ""основная содержательная нагрузка и цель данных экспонатов состоят в том, чтобы транслировать следующие идеи-утверждения: что равноценны и равнозначны (сопоставимы) образы Иисуса Христа и Микки Мауса; что равноценны и равнозначны (сопоставимы) по своему культурному и нравственному содержанию православное христианство и любой медийный продукт, например, мультфильм про Микки Мауса…""."	2009Zapretnoe_iskusstvo_2006.xml_46
"Он пишет дальше: ""Следовательно, работа В. Бахчаняна ""Без названия"" представляет собой и осуществляет предельно циничное, издевательское оскорбление и уничижительное, дисфорическое высмеивание религиозных убеждений и религиозных чувств православных верующих, жестокое унижение их человеческого достоинства по признаку отношения к религии""."	2009Zapretnoe_iskusstvo_2006.xml_54
"Как сказал в одном из интервью ""НГ"" проректор Высшей школы экономики Сергей Рощин, для того, чтобы российской женщине подняться к вершинам власти, ей нужно быть во многом талантливей и умней коллеги-мужчины."	2009Zavaly_Rosobrnadzora.xml_25
"""Да потому что он с нами контракт не стал подписывать"", - объясняет Писеев."	2010Chistka_v_sporte.xml_36
Вряд ли стоит поступать на экономиста с прицелом на бизнес: для этого нужны менеджерские навыки.	2010Ekonomisty.xml_3
"Как заявили ""Деньгам"" в Министерстве образования и науки, ""наиболее существенно сокращается объем бюджетных мест, выделяемых для федеральных органов исполнительной власти, для подведомственных вузов, в которых подготовка экономистов не является профильным направлением деятельности, и эта тенденция сохранится""."	2010Ekonomisty.xml_27
"""Речь идет не о ""стрельбе по площадям"", а об искоренении халтуры и сосредоточении ресурсов в лучших вузах"", - объясняет первый проректор ГУ-ВШЭ Лев Якобсон."	2010Ekonomisty.xml_28
"""Образование не база для карьеры, а база для бэкграунда,""- говорит Андрей Щербак."	2010Ekonomisty.xml_61
"Обращаясь к корреспонденту Forbes, Бекмамбетов, хитро улыбаясь, замечает: ""Я думаю, что люди все-таки больше хотят смотреть кино про себя, чем кино про голубых человечков""."	2010Filmy_Timura_Bekmambetova.xml_10
"Роднянский говорит, что Бекмамбетов был выбран Первым каналом на роль создателя фильма как ""бескомпромиссно коммерческий режиссер, не отравленный никакого рода амбициями и сантиментами авторского кинематографа, но при этом технологически блистательный профессионал""."	2010Filmy_Timura_Bekmambetova.xml_25
"""Была общая картина рынка, и были мы - два разных мира"", - говорит Бекмамбетов."	2010Filmy_Timura_Bekmambetova.xml_38
"""Прибыль была в районе 30%"", - говорит режиссер."	2010Filmy_Timura_Bekmambetova.xml_40
"""Мы становимся жертвами не совсем добросовестной рекламы заменителей грудного молока"", - заявила она, добавив, что материнское молоко является основой формирования иммунитета младенца и что длительное грудное вскармливание рекомендовано Всемирной организацией здравоохранения."	2010Fizkultura_i_okolo.xml_31
"""Наше непримиримое соперничество в прошлом"", - говорил Анатолий Карпов."	2010Karpov-Kasparov.xml_51
"""Чувак, я тебе скажу - это круто"", - описала впечатления шахматистка."	2010Karpov-Kasparov.xml_66
Каспаров никому не дал ни одного шанса.	2010Karpov-Kasparov.xml_67
"""Осталось только видеоповторы, как в катании, ввести: тогда судья не сможет сказать, что, мол, не увидел, выполнил спортсмен элемент или нет"", - считает Новикова."	2010Khudozhestvennaya_gimnastika.xml_42
"""Некоторым медведь на ухо наступил, но это судить им не мешает"", - говорит одна из экс-гимнасток."	2010Khudozhestvennaya_gimnastika.xml_47
- Стиль использования тормозов играет в образовании пробок колоссальную роль: плавное торможение, выполненное водителем, который заметил проблему загодя, позволяет транспортному потоку остаться плавным и непрерывным.	2010Matematika_probok.xml_20
"По мнению Ирины, государство еще не скоро всерьез доберется до рынка, на котором она орудует: ""Если уж с порнографией сделать ничего не могут, то что уж тут говорить о рефератах с курсовыми!"""	2010Mozgi_naprokat.xml_98
"""Теперь мы, пользуясь статистическими и компьютерными методами, будем изучать синтаксис и грамматическую структуру надписей из долины Инда"", - говорит Раджеш Рао."	2010Nadpisi_iz_doliny_Inda.xml_49
"""Просто хотел выглядеть хорошо, с девушками общаться - вот и стал вес сгонять, 32 кг скинул, рельеф появился"", - говорит Зарипов."	2010Paraolimpiitsy.xml_53
"Как он говорит, ""четыре раза стал чемпионом Башкирии среди мужиков""."	2010Paraolimpiitsy.xml_57
"""Говорят, у нас денег на нормальных нет, а вы тут со своими дураками лезете"", - рассказывает Newsweek гендиректор организации Валерий Антонов."	2010Paraolimpiitsy.xml_76
"""Пусть ""Сколково"" с их миллионами занимается экспериментами, а у нас таких возможностей нет"", - говорят некоторые деканы."	2010Rossiiskie_biznes-shkoly.xml_56
"Один из ректоров ""не для записи"" заявил: ""Если исходить из экономической выгоды, то я бы закрыл все программы кроме бакалавриата""."	2010Rossiiskie_biznes-shkoly.xml_81
Дениса тут же хватает в охапку, как плюшевую игрушку, какая-то пышногрудая канадка.	2010Russkii_dom.xml_26
"""Русский дом"" для него привычное выражение - его часто видят в одноименном ресторане в Вашингтоне после матчей Washington Capitals."	2010Russkii_dom.xml_47
Самого Скобрева, правда, задолго до концерта отправили обратно в Олимпийскую деревню - чтобы не перегорел перед новыми стартами.	2010Russkii_dom.xml_55
Через несколько дней Евгений Плющенко выступал последним и должен был брать золотую медаль, но и ему не повезло - судьи отдали первое место американцу Лайсачеку.	2010Russkii_dom.xml_85
Впрочем, страшен не сам по себе дефицит, а неспособность с ним справиться.	2010Spasenie_evro.xml_32
Не кроликов кормить, так клетки ремонтировать.	2011Apraushev.xml_95
"""Траншею копали, разумеется, сами, - говорит Апраушев, - наплевал я на запреты, холода наступали""."	2011Apraushev.xml_116
"Графиня Уварова, многолетний председатель Московского археологического общества, говорила: ""Археология - наука людей богатых""."	2011Gde_zhe_Shliman.xml_5
"""Мой волшебный Петербург"", - писал он."	2011Gde_zhe_Shliman.xml_20
"Когда-то, на заре перестройки, Михаил Шемякин поразил меня фразой, которой так охарактеризовал родной ""совок"": ""Мы выросли в кефире""."	2011Grisha_Perelman_devyatyi_genii.xml_24
И на фоне развернутой метафоры вершины - научного или физического достижения - мне был интересен путь человека, состоящего не просто из науки, а науки, совершенно недоступной социуму.	2011Grisha_Perelman_devyatyi_genii.xml_104
А по темному тоннелю бежать почти невозможно, теряешь ориентацию.	2011Mariam_Petrosyan.xml_29
Не тяжело переходить с одного языка на другой?	2011Mariam_Petrosyan.xml_130
"""Я лично убежден, что мы, физики, могли бы решать такие задачи просто ради интереса или забавы"", - сказал Ричард Фейнман."	2011Nano.xml_85
Ежегодно многие люди совершают свой первый полет на планере.	2011Planerizm.xml_43
Полеты на расстояние разрешаются, если они имеют достаточный опыт, чтобы находить источники подъема вдали от домашнего аэродрома, летать и приземляться в незнакомых местах при необходимости.	2011Planerizm.xml_143
Так вот обычно в лазере усиливается не одна конкретная длина волны, а несколько близких или даже много близких длин волн.	2011Sverkhkorotkoe_vremya.xml_199
"В его ""коллекции"" - видео того, как на Поклонную гору организованно выдвигается на автобусе группа поддержки Путина из подмосковного Дзержинска, а также некоторые ""показательные"" интервью с участниками акции, которые вызывают у недовольных откровенную насмешку."	2012Itogi_subboty.xml_36
Что у меня получилось?	2012Ne_mogu_bolshe_molchat.xml_52
"Та скажет: ""Иди, доча, благословляю""."	2012Poslednie_russkie.xml_95
"Мои хорошие, тетка моя говорила:""Если бы дети так заботились о родителях, как родители о детях, - конца света никогда бы не было""."	2012Poslednie_russkie.xml_113
На неудачную шутку скажут: иди в овин, да шути там один.	2012Poslednie_russkie.xml_217
Но базовая вещь - должна быть единая либеральная партия.	2012Putin_vzyal_kurs_na_agressivnoe_uderzhanie_status-kvo.xml_35
Причем, это не просто редакционная правка, это совершенно осознанное положение.	2012Putin_vzyal_kurs_na_agressivnoe_uderzhanie_status-kvo.xml_132
А физическое вытеснение 10-15 тысяч человек - это уже войсковая операция в центре Москвы.	2012Putin_vzyal_kurs_na_agressivnoe_uderzhanie_status-kvo.xml_172
13 апреля 1943 года германское радио сообщило о массовом захоронении в Катынском лесу расстрелянных польских офицеров.	2013Katyn.xml_1
"Он прямо указывает на ""отсутствие механизма ответственности в системе государственной власти, следствием чего становятся коррупция и некомпетентность, доминирование частных и корпоративных интересов при подготовке многих важных решений""."	2013Minfin_protiv_Glazieva.xml_6
И поэтому многие бывают шокированы, узнав, что научные теории никогда не доказываются, никогда не опровергаются и вполне могут находиться в противоречии друг с другом и с экспериментом.	2013Nauka.xml_24
"Вспомните Гека Финна, говорившего: ""Я не позволю, чтобы хождение в школу помешало моему образованию""."	2013Plody_alternativnogo_prosveshcheniya.xml_188
"После декабря-мая и событий вокруг ""Pussy Riot"" мы как раз имеем дело с таким ""извлечением"": из религиозной и моральной области."	2013Podarok_dlya_vsekh.xml_35
Что, о ужас, у сторонников европейского выбора появились самые настоящие враги в политическом смысле.	2013Podarok_dlya_vsekh.xml_111
Если все будет как обычно, то первый месяц будем спорить о том, нужно ли участвовать в выборах или бойкотировать их.	2013Putin_idet_na_ty.xml_36
Это гораздо более сложная картина действительности.	2013Rossiya_na_evropeiskom_fone.xml_171
Советские бойцы отразили и этот удар.	2013Stalingrad.xml_149
Новая тактика: война в руинах.	2013Stalingrad.xml_183
Чтобы создать или сохранить мощное государство.	2013Uchebnik_istorii.xml_37
"""Сегодня все больше и больше неангажированных российских ученых приходят к выводу, что в советский период отечественной истории в СССР были заложены основы принципиально новой цивилизационной системы"" - пишет Анатолий Шендрик."	2014Chto_budet_posle.xml_47
"Он пишет, что социализм - это ""общественный строй, в котором отсутствуют все формы эксплуатации и угнетения, которому присуща высокая экономическая эффективность, соревнование всех форм собственности на средства производства, народовластие, материальное благополучие, свобода, всестороннее духовное развитие человека""."	2014Chto_budet_posle.xml_58
"Например, Александр Бузгалин пишет, что мы стоим на пороге ""новой Касталии"", мира творцов."	2014Chto_budet_posle.xml_225
Во всяком случае, сетевые структуры демонстрируют, как именно возможна экономика без найма.	2014Chto_budet_posle.xml_309
"То он заявляет, почти буквально повторяя Ленина: ""Я действительно считаю кино ключевым, важнейшим направлением работы министерства""."	2014Kulturnye_olimpiitsy.xml_110
Ее жилая комната находилась там же.	2014Na_dvukh_voinakh_1.xml_23
Но был в селе мужик, у которого излечение кликуш, как говорили, получается лучше, чем у батюшки.	2014Na_dvukh_voinakh_1.xml_233
Все стены зала увешаны охотничьим оружием и трофеями многочисленных охот.	2014Na_dvukh_voinakh_1.xml_295
"Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз""."	2014Na_dvukh_voinakh_1.xml_351
"Государь улыбнулся и сказал: ""Помню-помню""."	2014Na_dvukh_voinakh_1.xml_354
"И если кто-нибудь спрашивал меня, кто это, я отвечал: ""Это моя невеста""."	2014Na_dvukh_voinakh_1.xml_392
Например, в Англии существовала практика, при которой вдовая королева могла выходить замуж только за равного ей по происхождению и социальному статусу.	2014Travin-1.xml_135
Были те, которые хотя бы внешне напоминали Англию по образу жизни широких масс населения.	2014Travin-2.xml_47
Либо ты осуществляешь преобразования, либо лишаешься своих земель, городов, подданных и тех ресурсов, которые можно из всего этого извлекать.	2014Travin-2.xml_122
"Вручая ее, они мне сказали: ""Ленечка, храни эту книгу, в ней весь Белинский""."	2014Vspolokhi-1.xml_122
"Народная артистка СССР Быстрицкая тогда мне сказала: ""Леонид Ефимович, что вы наделали, посмотрите сюда""."	2014Vspolokhi-1.xml_130
"Я - школьник - все же сказал: ""Он не виноват, что остался жив"", но морду запомнил и возненавидел."	2014Vspolokhi-1.xml_252
Главным своим делом по-прежнему считаю всемерное содействие продвижению демократических реформ в России теперь уже в новом своем качестве, утверждению в мире нового мышления.	2015Gorbachov.xml_141
"""Поздравляю, Коля, это к тебе"", - сказал дядя Вася."	2015iz_predanii.xml_62
"Примерно в это же время к бабушке, все еще сидевшей на ступеньках лестницы, сверху спустился все тот же щеголь в кожанке и пенсне и сказал ей: ""Мадам, ваш супруг будет скоро освобожден""."	2015iz_predanii.xml_172
"Вернувшись в кабинет, дед сказал Дзержинскому: ""Ехать невозможно""."	2015iz_predanii.xml_197
"""Как будет вам угодно, ваше превосходительство"", - с поклоном сказал швейцар и пошел за ключами."	2015iz_predanii.xml_210
"""Это могущественный, ответственный, молодой, энергичный, ориентированный на будущее человек"", - сказал Шваб."	newsYa_01.xml_22
"""Да, это заболевание может быть спровоцировано длительной неподвижностью человека"", заявила пресс-атташе компании ""British Airways""."	newsYa_02.xml_10
"Этот шаг предполагает отмену запретов на поставки технологий, реструктуризацию пакистанского долга, а также дает ""зеленый свет"" для новых займов."	newsYa_03.xml_49
"""Я хотел бы остаться в Каталонии еще по меньшей мере на два года"", - заявил голландец."	newsYa_13.xml_29
Этому в немалой степени способствовала довольно сдержанная реакция на решение Норвегии со стороны Организации стран экспортеров нефти, которая так и не дала однозначного ответа на вопрос о том, пойдет ли ОПЕК на обещанное сокращение с января будущего года ежедневной добычи нефти на 1,5 млн баррелей.	newsYa_16.xml_46
В подарок Деду Морозу столичный мэр преподнес валенки.	newsYa_18.xml_25
В Пакистане проводятся массовые аресты лидеров и активистов экстремистских мусульманских группировок.	newsYa_21.xml_15
