lemmas	text	sentence_num	index_of_token_sent	tags
что	что	2015Donbass.xml_16	19	content
украинец	украинцы	2015Donbass.xml_16	20	content
опасаться	опасаются	2015Donbass.xml_16	21	content
действие	действий	2015Donbass.xml_16	22	content
Россия	России	2015Donbass.xml_16	23	content
и	и	2015Donbass.xml_16	24	content
при	при	2015Donbass.xml_16	25	content
это	этом	2015Donbass.xml_16	26	content
не	не	2015Donbass.xml_16	27	content
доверять	доверяют	2015Donbass.xml_16	28	content
Евросоюз	Евросоюзу	2015Donbass.xml_16	29	content
,	,	2015Donbass.xml_16	30	content
на	на	2015Donbass.xml_16	31	content
помощь	помощь	2015Donbass.xml_16	32	content
который	которого	2015Donbass.xml_16	33	content
ранее	ранее	2015Donbass.xml_16	34	content
надеяться	надеялись	2015Donbass.xml_16	35	content
.	.	2015Donbass.xml_16	36	None
хотя	Хотя	2015Donbass.xml_29	1	None
украинский	украинские	2015Donbass.xml_29	2	source
чиновник	чиновники	2015Donbass.xml_29	3	source
заявить	заявили	2015Donbass.xml_29	4	cue
,	,	2015Donbass.xml_29	5	None
что	что	2015Donbass.xml_29	6	content
беспорядки	беспорядки	2015Donbass.xml_29	7	content
быть	были	2015Donbass.xml_29	8	content
провокация	провокацией	2015Donbass.xml_29	9	content
,	,	2015Donbass.xml_29	10	content
организовывать	организованной	2015Donbass.xml_29	11	content
российский	российскими	2015Donbass.xml_29	12	content
спецслужба	спецслужбами	2015Donbass.xml_29	13	content
,	,	2015Donbass.xml_29	14	None
человек	люди	2015Donbass.xml_29	15	None
,	,	2015Donbass.xml_29	16	None
побывать	побывавшие	2015Donbass.xml_29	17	None
в	в	2015Donbass.xml_29	18	None
последний	последнее	2015Donbass.xml_29	19	None
время	время	2015Donbass.xml_29	20	None
в	в	2015Donbass.xml_29	21	None
Донбасс	Донбассе	2015Donbass.xml_29	22	None
,	,	2015Donbass.xml_29	23	None
не	не	2015Donbass.xml_29	24	None
согласный	согласны	2015Donbass.xml_29	25	None
с	с	2015Donbass.xml_29	26	None
этот	этим	2015Donbass.xml_29	27	None
мнение	мнением	2015Donbass.xml_29	28	None
.	.	2015Donbass.xml_29	29	None
каков	Каковы	2015Glavnaya_taina_nachala_voiny.xml_110	1	None
быть	были	2015Glavnaya_taina_nachala_voiny.xml_110	2	None
условие	условия	2015Glavnaya_taina_nachala_voiny.xml_110	3	None
,	,	2015Glavnaya_taina_nachala_voiny.xml_110	4	None
кто	кто	2015Glavnaya_taina_nachala_voiny.xml_110	5	None
вести	вел	2015Glavnaya_taina_nachala_voiny.xml_110	6	None
переговоры	переговоры	2015Glavnaya_taina_nachala_voiny.xml_110	7	None
,	,	2015Glavnaya_taina_nachala_voiny.xml_110	8	None
почему	почему	2015Glavnaya_taina_nachala_voiny.xml_110	9	None
не	не	2015Glavnaya_taina_nachala_voiny.xml_110	10	None
состояться	состоялось	2015Glavnaya_taina_nachala_voiny.xml_110	11	None
-	-	2015Glavnaya_taina_nachala_voiny.xml_110	12	None
весь	все	2015Glavnaya_taina_nachala_voiny.xml_110	13	None
это	это	2015Glavnaya_taina_nachala_voiny.xml_110	14	None
уже	уже	2015Glavnaya_taina_nachala_voiny.xml_110	15	None
описать	описано	2015Glavnaya_taina_nachala_voiny.xml_110	16	None
,	,	2015Glavnaya_taina_nachala_voiny.xml_110	17	None
опубликовать	опубликовано	2015Glavnaya_taina_nachala_voiny.xml_110	18	None
.	.	2015Glavnaya_taina_nachala_voiny.xml_110	19	None
отечественный	Отечественная	2015Interviyu_Dvorkina.xml_1	1	source
пропаганда	пропаганда	2015Interviyu_Dvorkina.xml_1	2	source
объяснять	объясняет	2015Interviyu_Dvorkina.xml_1	3	cue
россиянин	россиянам	2015Interviyu_Dvorkina.xml_1	4	None
,	,	2015Interviyu_Dvorkina.xml_1	5	None
что	что	2015Interviyu_Dvorkina.xml_1	6	content
один	одна	2015Interviyu_Dvorkina.xml_1	7	content
из	из	2015Interviyu_Dvorkina.xml_1	8	content
главный	главных	2015Interviyu_Dvorkina.xml_1	9	content
причина	причин	2015Interviyu_Dvorkina.xml_1	10	content
нынешний	нынешней	2015Interviyu_Dvorkina.xml_1	11	content
""""	""""	2015Interviyu_Dvorkina.xml_1	12	content
крымско	крымско	2015Interviyu_Dvorkina.xml_1	13	content
-	-	2015Interviyu_Dvorkina.xml_1	14	content
украинский	украинской	2015Interviyu_Dvorkina.xml_1	15	content
""""	""""	2015Interviyu_Dvorkina.xml_1	16	content
политика	политики	2015Interviyu_Dvorkina.xml_1	17	content
Россия	России	2015Interviyu_Dvorkina.xml_1	18	content
-	-	2015Interviyu_Dvorkina.xml_1	19	content
это	это	2015Interviyu_Dvorkina.xml_1	20	content
необходимость	необходимость	2015Interviyu_Dvorkina.xml_1	21	content
дать	дать	2015Interviyu_Dvorkina.xml_1	22	content
ответ	ответ	2015Interviyu_Dvorkina.xml_1	23	content
на	на	2015Interviyu_Dvorkina.xml_1	24	content
вызов	вызов	2015Interviyu_Dvorkina.xml_1	25	content
Запад	Запада	2015Interviyu_Dvorkina.xml_1	26	content
,	,	2015Interviyu_Dvorkina.xml_1	27	content
на	на	2015Interviyu_Dvorkina.xml_1	28	content
его	его	2015Interviyu_Dvorkina.xml_1	29	content
попытка	попытку	2015Interviyu_Dvorkina.xml_1	30	content
ущемить	ущемить	2015Interviyu_Dvorkina.xml_1	31	content
жизненно	жизненно	2015Interviyu_Dvorkina.xml_1	32	content
важный	важные	2015Interviyu_Dvorkina.xml_1	33	content
российский	российские	2015Interviyu_Dvorkina.xml_1	34	content
интерес	интересы	2015Interviyu_Dvorkina.xml_1	35	content
.	.	2015Interviyu_Dvorkina.xml_1	36	None
у	У	2015Interviyu_Dvorkina.xml_72	1	None
мы	нас	2015Interviyu_Dvorkina.xml_72	2	None
действовать	действовали	2015Interviyu_Dvorkina.xml_72	3	None
до	до	2015Interviyu_Dvorkina.xml_72	4	None
20	20	2015Interviyu_Dvorkina.xml_72	5	None
различный	различных	2015Interviyu_Dvorkina.xml_72	6	None
группа	групп	2015Interviyu_Dvorkina.xml_72	7	None
,	,	2015Interviyu_Dvorkina.xml_72	8	None
комитет	комитетов	2015Interviyu_Dvorkina.xml_72	9	None
и	и	2015Interviyu_Dvorkina.xml_72	10	None
прочий	прочих	2015Interviyu_Dvorkina.xml_72	11	None
структура	структур	2015Interviyu_Dvorkina.xml_72	12	None
по	по	2015Interviyu_Dvorkina.xml_72	13	None
совместный	совместной	2015Interviyu_Dvorkina.xml_72	14	None
борьба	борьбе	2015Interviyu_Dvorkina.xml_72	15	None
с	с	2015Interviyu_Dvorkina.xml_72	16	None
терроризм	терроризмом	2015Interviyu_Dvorkina.xml_72	17	None
,	,	2015Interviyu_Dvorkina.xml_72	18	None
пиратство	пиратством	2015Interviyu_Dvorkina.xml_72	19	None
,	,	2015Interviyu_Dvorkina.xml_72	20	None
по	по	2015Interviyu_Dvorkina.xml_72	21	None
поиск	поиску	2015Interviyu_Dvorkina.xml_72	22	None
и	и	2015Interviyu_Dvorkina.xml_72	23	None
спасение	спасению	2015Interviyu_Dvorkina.xml_72	24	None
на	на	2015Interviyu_Dvorkina.xml_72	25	None
море	море	2015Interviyu_Dvorkina.xml_72	26	None
,	,	2015Interviyu_Dvorkina.xml_72	27	None
по	по	2015Interviyu_Dvorkina.xml_72	28	None
ликвидация	ликвидации	2015Interviyu_Dvorkina.xml_72	29	None
последствие	последствий	2015Interviyu_Dvorkina.xml_72	30	None
авария	аварий	2015Interviyu_Dvorkina.xml_72	31	None
на	на	2015Interviyu_Dvorkina.xml_72	32	None
ядерный	ядерных	2015Interviyu_Dvorkina.xml_72	33	None
объект	объектах	2015Interviyu_Dvorkina.xml_72	34	None
,	,	2015Interviyu_Dvorkina.xml_72	35	None
осуществляться	осуществлялись	2015Interviyu_Dvorkina.xml_72	36	None
взаимный	взаимные	2015Interviyu_Dvorkina.xml_72	37	None
посещение	посещения	2015Interviyu_Dvorkina.xml_72	38	None
военный	военных	2015Interviyu_Dvorkina.xml_72	39	None
учение	учений	2015Interviyu_Dvorkina.xml_72	40	None
.	.	2015Interviyu_Dvorkina.xml_72	41	None
он	Он	2015Interviyu_Dvorkina.xml_107	1	source
сказать	сказал	2015Interviyu_Dvorkina.xml_107	2	cue
,	,	2015Interviyu_Dvorkina.xml_107	3	None
что	что	2015Interviyu_Dvorkina.xml_107	4	content
весь	все	2015Interviyu_Dvorkina.xml_107	5	content
страна	страны	2015Interviyu_Dvorkina.xml_107	6	content
должен	должны	2015Interviyu_Dvorkina.xml_107	7	content
платить	платить	2015Interviyu_Dvorkina.xml_107	8	content
за	за	2015Interviyu_Dvorkina.xml_107	9	content
оборона	оборону	2015Interviyu_Dvorkina.xml_107	10	content
.	.	2015Interviyu_Dvorkina.xml_107	11	None
поэтому	Поэтому	2015Interviyu_Dvorkina.xml_179	1	None
везде	везде	2015Interviyu_Dvorkina.xml_179	2	None
,	,	2015Interviyu_Dvorkina.xml_179	3	None
где	где	2015Interviyu_Dvorkina.xml_179	4	None
только	только	2015Interviyu_Dvorkina.xml_179	5	None
можно	можно	2015Interviyu_Dvorkina.xml_179	6	None
,	,	2015Interviyu_Dvorkina.xml_179	7	None
я	я	2015Interviyu_Dvorkina.xml_179	8	source
утверждать	утверждаю	2015Interviyu_Dvorkina.xml_179	9	cue
,	,	2015Interviyu_Dvorkina.xml_179	10	None
что	что	2015Interviyu_Dvorkina.xml_179	11	content
ЕвроПРО	ЕвроПРО	2015Interviyu_Dvorkina.xml_179	12	content
и	и	2015Interviyu_Dvorkina.xml_179	13	content
глобальный	глобальная	2015Interviyu_Dvorkina.xml_179	14	content
ПРО	ПРО	2015Interviyu_Dvorkina.xml_179	15	content
никой	никоим	2015Interviyu_Dvorkina.xml_179	16	content
образ	образом	2015Interviyu_Dvorkina.xml_179	17	content
не	не	2015Interviyu_Dvorkina.xml_179	18	content
мочь	могут	2015Interviyu_Dvorkina.xml_179	19	content
подорвать	подорвать	2015Interviyu_Dvorkina.xml_179	20	content
наш	наш	2015Interviyu_Dvorkina.xml_179	21	content
потенциал	потенциал	2015Interviyu_Dvorkina.xml_179	22	content
ядерный	ядерного	2015Interviyu_Dvorkina.xml_179	23	content
сдерживание	сдерживания	2015Interviyu_Dvorkina.xml_179	24	content
.	.	2015Interviyu_Dvorkina.xml_179	25	None
-	-	2015Interviyu_Yavlinskogo.xml_5	1	None
президент	Президент	2015Interviyu_Yavlinskogo.xml_5	2	source
США	США	2015Interviyu_Yavlinskogo.xml_5	3	source
заявить	заявил	2015Interviyu_Yavlinskogo.xml_5	4	cue
,	,	2015Interviyu_Yavlinskogo.xml_5	5	None
что	что	2015Interviyu_Yavlinskogo.xml_5	6	content
западный	западные	2015Interviyu_Yavlinskogo.xml_5	7	content
санкция	санкции	2015Interviyu_Yavlinskogo.xml_5	8	content
порвать	порвали	2015Interviyu_Yavlinskogo.xml_5	9	content
экономика	экономику	2015Interviyu_Yavlinskogo.xml_5	10	content
Россия	России	2015Interviyu_Yavlinskogo.xml_5	11	content
в	в	2015Interviyu_Yavlinskogo.xml_5	12	content
клок	клочья	2015Interviyu_Yavlinskogo.xml_5	13	content
.	.	2015Interviyu_Yavlinskogo.xml_5	14	None
-	-	2015Interviyu_Yavlinskogo.xml_43	1	None
в	В	2015Interviyu_Yavlinskogo.xml_43	2	None
Россия	России	2015Interviyu_Yavlinskogo.xml_43	3	None
в	в	2015Interviyu_Yavlinskogo.xml_43	4	None
90-й	90-е	2015Interviyu_Yavlinskogo.xml_43	5	None
быть	была	2015Interviyu_Yavlinskogo.xml_43	6	None
создать	создана	2015Interviyu_Yavlinskogo.xml_43	7	None
система	система	2015Interviyu_Yavlinskogo.xml_43	8	None
периферийный	периферийного	2015Interviyu_Yavlinskogo.xml_43	9	None
капитализм	капитализма	2015Interviyu_Yavlinskogo.xml_43	10	None
.	.	2015Interviyu_Yavlinskogo.xml_43	11	None
поскольку	Поскольку	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	1	content
минский	минские	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	2	content
достижение	достижения	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	3	content
иллюзорный	иллюзорны	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	4	content
,	,	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	5	None
утверждать	утверждает	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	6	cue
Пастухов	Пастухов	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	7	source
(	(	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	8	None
а	а	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	9	None
они	они	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	10	None
действительно	действительно	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	11	None
иллюзорный	иллюзорны	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	12	None
в	в	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	13	None
план	плане	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	14	None
разрешение	разрешения	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	15	None
кризис	кризиса	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	16	None
)	)	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	17	None
,	,	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	18	None
необходимый	необходимо	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	19	content
изобрести	изобрести	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	20	content
нечто	нечто	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	21	content
они	им	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	22	content
взамен	взамен	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	23	content
.	.	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20	24	None
мочь	Могут	2015Nelegalnye_kholodilniki.xml_26	1	None
разрешить	разрешить	2015Nelegalnye_kholodilniki.xml_26	2	None
взять	взять	2015Nelegalnye_kholodilniki.xml_26	3	None
капитан	капитана	2015Nelegalnye_kholodilniki.xml_26	4	None
с	с	2015Nelegalnye_kholodilniki.xml_26	5	None
Украина	Украины	2015Nelegalnye_kholodilniki.xml_26	6	None
,	,	2015Nelegalnye_kholodilniki.xml_26	7	None
например	например	2015Nelegalnye_kholodilniki.xml_26	8	None
,	,	2015Nelegalnye_kholodilniki.xml_26	9	None
но	но	2015Nelegalnye_kholodilniki.xml_26	10	None
не	не	2015Nelegalnye_kholodilniki.xml_26	11	None
рыбообработчик	рыбообработчиков	2015Nelegalnye_kholodilniki.xml_26	12	None
,	,	2015Nelegalnye_kholodilniki.xml_26	13	None
который	которых	2015Nelegalnye_kholodilniki.xml_26	14	None
у	у	2015Nelegalnye_kholodilniki.xml_26	15	None
мы	нас	2015Nelegalnye_kholodilniki.xml_26	16	None
свой	своих	2015Nelegalnye_kholodilniki.xml_26	17	None
на	на	2015Nelegalnye_kholodilniki.xml_26	18	None
берег	берегу	2015Nelegalnye_kholodilniki.xml_26	19	None
полно	полно	2015Nelegalnye_kholodilniki.xml_26	20	None
.	.	2015Nelegalnye_kholodilniki.xml_26	21	None
все	Все	2015Nelegalnye_kholodilniki.xml_141	1	None
,	,	2015Nelegalnye_kholodilniki.xml_141	2	None
вплоть	вплоть	2015Nelegalnye_kholodilniki.xml_141	3	None
до	до	2015Nelegalnye_kholodilniki.xml_141	4	None
мелочь	мелочей	2015Nelegalnye_kholodilniki.xml_141	5	None
,	,	2015Nelegalnye_kholodilniki.xml_141	6	None
туда	туда	2015Nelegalnye_kholodilniki.xml_141	7	None
входить	входит	2015Nelegalnye_kholodilniki.xml_141	8	None
:	:	2015Nelegalnye_kholodilniki.xml_141	9	None
место	место	2015Nelegalnye_kholodilniki.xml_141	10	None
,	,	2015Nelegalnye_kholodilniki.xml_141	11	None
наличие	наличие	2015Nelegalnye_kholodilniki.xml_141	12	None
экипаж	экипажа	2015Nelegalnye_kholodilniki.xml_141	13	None
,	,	2015Nelegalnye_kholodilniki.xml_141	14	None
остаток	остаток	2015Nelegalnye_kholodilniki.xml_141	15	None
топливо	топлива	2015Nelegalnye_kholodilniki.xml_141	16	None
,	,	2015Nelegalnye_kholodilniki.xml_141	17	None
сколько	сколько	2015Nelegalnye_kholodilniki.xml_141	18	None
рыба	рыбы	2015Nelegalnye_kholodilniki.xml_141	19	None
взять	взяли	2015Nelegalnye_kholodilniki.xml_141	20	None
,	,	2015Nelegalnye_kholodilniki.xml_141	21	None
происшествие	происшествия	2015Nelegalnye_kholodilniki.xml_141	22	None
.	.	2015Nelegalnye_kholodilniki.xml_141	23	None
в	В	2015Opravdanie_televideniya.xml_173	1	None
тот	то	2015Opravdanie_televideniya.xml_173	2	None
же	же	2015Opravdanie_televideniya.xml_173	3	None
время	время	2015Opravdanie_televideniya.xml_173	4	None
попытка	попытки	2015Opravdanie_televideniya.xml_173	5	None
влиятельный	влиятельных	2015Opravdanie_televideniya.xml_173	6	None
""""	""""	2015Opravdanie_televideniya.xml_173	7	None
московский	Московских	2015Opravdanie_televideniya.xml_173	8	None
ведомость	ведомостей	2015Opravdanie_televideniya.xml_173	9	None
""""	""""	2015Opravdanie_televideniya.xml_173	10	None
пропагандировать	пропагандировать	2015Opravdanie_televideniya.xml_173	11	None
английский	английскую	2015Opravdanie_televideniya.xml_173	12	None
идея	идею	2015Opravdanie_televideniya.xml_173	13	None
свобода	свободы	2015Opravdanie_televideniya.xml_173	14	None
торговля	торговли	2015Opravdanie_televideniya.xml_173	15	None
не	не	2015Opravdanie_televideniya.xml_173	16	None
иметь	имели	2015Opravdanie_televideniya.xml_173	17	None
успех	успеха	2015Opravdanie_televideniya.xml_173	18	None
,	,	2015Opravdanie_televideniya.xml_173	19	None
поскольку	поскольку	2015Opravdanie_televideniya.xml_173	20	None
общественный	общественное	2015Opravdanie_televideniya.xml_173	21	None
мнение	мнение	2015Opravdanie_televideniya.xml_173	22	None
держаться	держалось	2015Opravdanie_televideniya.xml_173	23	None
тут	тут	2015Opravdanie_televideniya.xml_173	24	None
другой	другого	2015Opravdanie_televideniya.xml_173	25	None
взгляд	взгляда	2015Opravdanie_televideniya.xml_173	26	None
.	.	2015Opravdanie_televideniya.xml_173	27	None
и	И	2015Opravdanie_televideniya.xml_193	1	None
очень	очень	2015Opravdanie_televideniya.xml_193	2	None
важный	важно	2015Opravdanie_televideniya.xml_193	3	None
,	,	2015Opravdanie_televideniya.xml_193	4	None
что	что	2015Opravdanie_televideniya.xml_193	5	None
здесь	здесь	2015Opravdanie_televideniya.xml_193	6	None
Генис	Генис	2015Opravdanie_televideniya.xml_193	7	None
говорить	говорит	2015Opravdanie_televideniya.xml_193	8	None
о	о	2015Opravdanie_televideniya.xml_193	9	None
человек	людях	2015Opravdanie_televideniya.xml_193	10	None
,	,	2015Opravdanie_televideniya.xml_193	11	None
склонный	склонных	2015Opravdanie_televideniya.xml_193	12	None
к	к	2015Opravdanie_televideniya.xml_193	13	None
оппонирование	оппонированию	2015Opravdanie_televideniya.xml_193	14	None
российский	российскому	2015Opravdanie_televideniya.xml_193	15	None
правительство	правительству	2015Opravdanie_televideniya.xml_193	16	None
,	,	2015Opravdanie_televideniya.xml_193	17	None
зачастую	зачастую	2015Opravdanie_televideniya.xml_193	18	None
об	об	2015Opravdanie_televideniya.xml_193	19	None
эмигрант	эмигрантах	2015Opravdanie_televideniya.xml_193	20	None
.	.	2015Opravdanie_televideniya.xml_193	21	None
способ	Способы	2015Pervyi_avtomobil.xml_5	1	None
быть	были	2015Pervyi_avtomobil.xml_5	2	None
разный	разные	2015Pervyi_avtomobil.xml_5	3	None
.	.	2015Pervyi_avtomobil.xml_5	4	None
но	Но	2015Poroshenko_dolzhen_pobedit.xml_63	1	None
в	в	2015Poroshenko_dolzhen_pobedit.xml_63	2	None
СССР	СССР	2015Poroshenko_dolzhen_pobedit.xml_63	3	None
Политбюро	Политбюро	2015Poroshenko_dolzhen_pobedit.xml_63	4	None
все-таки	все-таки	2015Poroshenko_dolzhen_pobedit.xml_63	5	None
знать	знало	2015Poroshenko_dolzhen_pobedit.xml_63	6	None
,	,	2015Poroshenko_dolzhen_pobedit.xml_63	7	None
что	что	2015Poroshenko_dolzhen_pobedit.xml_63	8	None
оно	оно	2015Poroshenko_dolzhen_pobedit.xml_63	9	None
-	-	2015Poroshenko_dolzhen_pobedit.xml_63	10	None
единственный	единственный	2015Poroshenko_dolzhen_pobedit.xml_63	11	None
институт	институт	2015Poroshenko_dolzhen_pobedit.xml_63	12	None
преемственность	преемственности	2015Poroshenko_dolzhen_pobedit.xml_63	13	None
.	.	2015Poroshenko_dolzhen_pobedit.xml_63	14	None
потому	Потому	2015Pust_dolgim_budet_razgovor.xml_25	1	None
они	их	2015Pust_dolgim_budet_razgovor.xml_25	2	None
называть	называли	2015Pust_dolgim_budet_razgovor.xml_25	3	None
поминальный	поминальными	2015Pust_dolgim_budet_razgovor.xml_25	4	None
свеча	свечами	2015Pust_dolgim_budet_razgovor.xml_25	5	None
.	.	2015Pust_dolgim_budet_razgovor.xml_25	6	None
человек	Люди	2015Pust_dolgim_budet_razgovor.xml_78	1	source
,	,	2015Pust_dolgim_budet_razgovor.xml_78	2	None
хорошо	хорошо	2015Pust_dolgim_budet_razgovor.xml_78	3	None
помнить	помнившие	2015Pust_dolgim_budet_razgovor.xml_78	4	None
довоенный	довоенные	2015Pust_dolgim_budet_razgovor.xml_78	5	None
год	годы	2015Pust_dolgim_budet_razgovor.xml_78	6	None
в	в	2015Pust_dolgim_budet_razgovor.xml_78	7	None
СССР	СССР	2015Pust_dolgim_budet_razgovor.xml_78	8	None
,	,	2015Pust_dolgim_budet_razgovor.xml_78	9	None
в	в	2015Pust_dolgim_budet_razgovor.xml_78	10	None
один	один	2015Pust_dolgim_budet_razgovor.xml_78	11	None
голос	голос	2015Pust_dolgim_budet_razgovor.xml_78	12	None
утверждать	утверждают	2015Pust_dolgim_budet_razgovor.xml_78	13	cue
,	,	2015Pust_dolgim_budet_razgovor.xml_78	14	None
что	что	2015Pust_dolgim_budet_razgovor.xml_78	15	content
до	до	2015Pust_dolgim_budet_razgovor.xml_78	16	content
война	войны	2015Pust_dolgim_budet_razgovor.xml_78	17	content
массовый	массового	2015Pust_dolgim_budet_razgovor.xml_78	18	content
бытовой	бытового	2015Pust_dolgim_budet_razgovor.xml_78	19	content
антисемитизм	антисемитизма	2015Pust_dolgim_budet_razgovor.xml_78	20	content
почти	почти	2015Pust_dolgim_budet_razgovor.xml_78	21	content
не	не	2015Pust_dolgim_budet_razgovor.xml_78	22	content
быть	было	2015Pust_dolgim_budet_razgovor.xml_78	23	content
.	.	2015Pust_dolgim_budet_razgovor.xml_78	24	None
в	В	2015Pust_dolgim_budet_razgovor.xml_88	1	None
свой	своей	2015Pust_dolgim_budet_razgovor.xml_88	2	None
пропаганда	пропаганде	2015Pust_dolgim_budet_razgovor.xml_88	3	None
нацист	нацисты	2015Pust_dolgim_budet_razgovor.xml_88	4	source
постоянно	постоянно	2015Pust_dolgim_budet_razgovor.xml_88	5	None
подчеркивать	подчеркивали	2015Pust_dolgim_budet_razgovor.xml_88	6	cue
,	,	2015Pust_dolgim_budet_razgovor.xml_88	7	None
что	что	2015Pust_dolgim_budet_razgovor.xml_88	8	content
сражаться	сражаются	2015Pust_dolgim_budet_razgovor.xml_88	9	content
за	за	2015Pust_dolgim_budet_razgovor.xml_88	10	content
освобождение	освобождение	2015Pust_dolgim_budet_razgovor.xml_88	11	content
русский	русского	2015Pust_dolgim_budet_razgovor.xml_88	12	content
,	,	2015Pust_dolgim_budet_razgovor.xml_88	13	content
украинский	украинского	2015Pust_dolgim_budet_razgovor.xml_88	14	content
и	и	2015Pust_dolgim_budet_razgovor.xml_88	15	content
белорусский	белорусского	2015Pust_dolgim_budet_razgovor.xml_88	16	content
народ	народов	2015Pust_dolgim_budet_razgovor.xml_88	17	content
от	от	2015Pust_dolgim_budet_razgovor.xml_88	18	content
