lemmas	text	sentence_num	index_of_token_sent	tags
ministr	ministra	cmpr9415-038-p8s2	14	source
a	a	cmpr9415-038-p8s2	15	source
vedoucí	vedoucí	cmpr9415-038-p8s2	16	source
úřad	úřadu	cmpr9415-038-p8s2	17	source
ministerstvo	Ministerstva	cmpr9415-038-p8s2	18	source
průmysl	průmyslu	cmpr9415-038-p8s2	19	source
a	a	cmpr9415-038-p8s2	20	source
obchod	obchodu	cmpr9415-038-p8s2	21	source
Václav	Václav	cmpr9415-038-p8s2	22	source
Petříček	Petříček	cmpr9415-038-p8s2	23	source
,	,	cmpr9415-038-p8s2	24	None
který	který	cmpr9415-038-p8s2	25	None
být	byl	cmpr9415-038-p8s2	26	None
člen	členem	cmpr9415-038-p8s2	27	None
delegace	delegace	cmpr9415-038-p8s2	28	None
,	,	cmpr9415-038-p8s2	29	None
jenž	jež	cmpr9415-038-p8s2	30	None
několik	několik	cmpr9415-038-p8s2	31	None
den	dní	cmpr9415-038-p8s2	32	None
předtím	předtím	cmpr9415-038-p8s2	33	None
připravovat	připravovala	cmpr9415-038-p8s2	34	None
v	v	cmpr9415-038-p8s2	35	None
Moskva	Moskvě	cmpr9415-038-p8s2	36	None
návštěva	návštěvu	cmpr9415-038-p8s2	37	None
premiér	premiéra	cmpr9415-038-p8s2	38	None
Václav	Václava	cmpr9415-038-p8s2	39	None
Klaus	Klause	cmpr9415-038-p8s2	40	None
.	.	cmpr9415-038-p8s2	41	None
kaktus	Kaktus	cmpr9416-021-p2s1	1	None
Synthesia	Synthesia	cmpr9417-037-p8s1	1	None
vyrábět	vyrábí	cmpr9417-037-p8s1	2	None
anorganický	anorganické	cmpr9417-037-p8s1	3	None
a	a	cmpr9417-037-p8s1	4	None
organický	organické	cmpr9417-037-p8s1	5	None
kyselina	kyseliny	cmpr9417-037-p8s1	6	None
,	,	cmpr9417-037-p8s1	7	None
hnojivo	hnojiva	cmpr9417-037-p8s1	8	None
,	,	cmpr9417-037-p8s1	9	None
barvivo	barviva	cmpr9417-037-p8s1	10	None
,	,	cmpr9417-037-p8s1	11	None
farmaceutikum	farmaceutika	cmpr9417-037-p8s1	12	None
,	,	cmpr9417-037-p8s1	13	None
pryskyřice	pryskyřice	cmpr9417-037-p8s1	14	None
,	,	cmpr9417-037-p8s1	15	None
laminát	lamináty	cmpr9417-037-p8s1	16	None
a	a	cmpr9417-037-p8s1	17	None
výbušnina	výbušniny	cmpr9417-037-p8s1	18	None
.	.	cmpr9417-037-p8s1	19	None
""""	""""	lnd91301-016-p5s2B	1	content
souhlas	Souhlasem	lnd91301-016-p5s2B	2	content
být	jsme	lnd91301-016-p5s2B	3	content
předurčit	nepředurčili	lnd91301-016-p5s2B	4	content
,	,	lnd91301-016-p5s2B	5	content
kdo	komu	lnd91301-016-p5s2B	6	content
mít	mají	lnd91301-016-p5s2B	7	content
pozemek	pozemky	lnd91301-016-p5s2B	8	content
připadnout	připadnout	lnd91301-016-p5s2B	9	content
,	,	lnd91301-016-p5s2B	10	content
""""	""""	lnd91301-016-p5s2B	11	content
konstatovat	konstatuje	lnd91301-016-p5s2B	12	cue
Ing	ing	lnd91301-016-p5s2B	13	source
.	.	lnd91301-016-p5s2B	14	source
P	P	lnd91301-016-p5s2B	15	source
.	.	lnd91301-016-p5s2B	16	source
Slaný	Slaný	lnd91301-016-p5s2B	17	source
,	,	lnd91301-016-p5s2B	18	None
ředitel	ředitel	lnd91301-016-p5s2B	19	source
odbor	odboru	lnd91301-016-p5s2B	20	source
cena	cen	lnd91301-016-p5s2B	21	source
MF	MF	lnd91301-016-p5s2B	22	source
ČR	ČR	lnd91301-016-p5s2B	23	source
.	.	lnd91301-016-p5s2B	24	None
kmotr	Kmotrem	lnd91301-046-p1s2	1	None
se	se	lnd91301-046-p1s2	2	None
na	na	lnd91301-046-p1s2	3	None
Bertramka	Bertramce	lnd91301-046-p1s2	4	None
stát	stal	lnd91301-046-p1s2	5	None
místopředseda	místopředseda	lnd91301-046-p1s2	6	None
český	české	lnd91301-046-p1s2	7	None
vláda	vlády	lnd91301-046-p1s2	8	None
Antonín	Antonín	lnd91301-046-p1s2	9	None
Baudyš	Baudyš	lnd91301-046-p1s2	10	None
.	.	lnd91301-046-p1s2	11	None
procházet	Procházíme	lnd91301-050-p4s5	1	None
jednotlivý	jednotlivými	lnd91301-050-p4s5	2	None
místnost	místnostmi	lnd91301-050-p4s5	3	None
.	.	lnd91301-050-p4s5	4	None
téměř	Téměř	lnd91303-056-p3s7	1	None
minimalistický	minimalistickému	lnd91303-056-p3s7	2	None
box	boxu	lnd91303-056-p3s7	3	None
Jiří	Jiřího	lnd91303-056-p3s7	4	None
Kovanda	Kovandy	lnd91303-056-p3s7	5	None
sousedit	sousedí	lnd91303-056-p3s7	6	None
mytizovaný	mytizovaný	lnd91303-056-p3s7	7	None
kolorovaný	kolorovaný	lnd91303-056-p3s7	8	None
videosvět	videosvět	lnd91303-056-p3s7	9	None
Radek	Radka	lnd91303-056-p3s7	10	None
pilař	Pilaře	lnd91303-056-p3s7	11	None
plný	plný	lnd91303-056-p3s7	12	None
prach	prachu	lnd91303-056-p3s7	13	None
20	20	lnd91303-056-p3s7	14	None
.	.	lnd91303-056-p3s7	15	None
století	století	lnd91303-056-p3s7	16	None
.	.	lnd91303-056-p3s7	17	None
být	Je	lnd91303-063-p8s9	1	None
zde	zde	lnd91303-063-p8s9	2	None
možnost	nemožnost	lnd91303-063-p8s9	3	None
sestavení	sestavení	lnd91303-063-p8s9	4	None
jakýkoliv	jakékoli	lnd91303-063-p8s9	5	None
koalice	koalice	lnd91303-063-p8s9	6	None
,	,	lnd91303-063-p8s9	7	None
získání	získání	lnd91303-063-p8s9	8	None
většina	většiny	lnd91303-063-p8s9	9	None
v	v	lnd91303-063-p8s9	10	None
parlament	parlamentu	lnd91303-063-p8s9	11	None
a	a	lnd91303-063-p8s9	12	None
tudíž	tudíž	lnd91303-063-p8s9	13	None
vytvoření	vytvoření	lnd91303-063-p8s9	14	None
nějaký	nějaké	lnd91303-063-p8s9	15	None
vláda	vlády	lnd91303-063-p8s9	16	None
s	s	lnd91303-063-p8s9	17	None
určitý	určitým	lnd91303-063-p8s9	18	None
programový	programovým	lnd91303-063-p8s9	19	None
prohlášení	prohlášením	lnd91303-063-p8s9	20	None
.	.	lnd91303-063-p8s9	21	None
pan	Pan	lnd91303-067-p4s4	1	source
ministr	ministr	lnd91303-067-p4s4	2	source
konstatovat	konstatuje	lnd91303-067-p4s4	3	cue
,	,	lnd91303-067-p4s4	4	None
že	že	lnd91303-067-p4s4	5	content
většina	většina	lnd91303-067-p4s4	6	content
slovenský	slovenských	lnd91303-067-p4s4	7	content
politik	politiků	lnd91303-067-p4s4	8	content
myslit	myslí	lnd91303-067-p4s4	9	content
pouze	pouze	lnd91303-067-p4s4	10	content
na	na	lnd91303-067-p4s4	11	content
prospěch	prospěch	lnd91303-067-p4s4	12	content
Slovensko	Slovenska	lnd91303-067-p4s4	13	content
.	.	lnd91303-067-p4s4	14	None
Tomáš	Tomáš	lnd94101-006-p1s11	1	source
ježek	Ježek	lnd94101-006-p1s11	2	source
tento	tento	lnd94101-006-p1s11	3	None
fakt	fakt	lnd94101-006-p1s11	4	None
vysvětlovat	vysvětluje	lnd94101-006-p1s11	5	None
administrativní	administrativní	lnd94101-006-p1s11	6	None
chyba	chybou	lnd94101-006-p1s11	7	None
a	a	lnd94101-006-p1s11	8	None
tvrdit	tvrdí	lnd94101-006-p1s11	9	cue
,	,	lnd94101-006-p1s11	10	None
že	že	lnd94101-006-p1s11	11	content
FNM	FNM	lnd94101-006-p1s11	12	content
postupovat	postupoval	lnd94101-006-p1s11	13	content
správně	správně	lnd94101-006-p1s11	14	content
,	,	lnd94101-006-p1s11	15	content
když	když	lnd94101-006-p1s11	16	content
akcie	akcie	lnd94101-006-p1s11	17	content
čokoládovna	Čokoládoven	lnd94101-006-p1s11	18	content
rozprodat	rozprodal	lnd94101-006-p1s11	19	content
podle	podle	lnd94101-006-p1s11	20	content
privatizační	privatizačního	lnd94101-006-p1s11	21	content
projekt	projektu	lnd94101-006-p1s11	22	content
,	,	lnd94101-006-p1s11	23	content
tedy	tedy	lnd94101-006-p1s11	24	content
i	i	lnd94101-006-p1s11	25	content
první	První	lnd94101-006-p1s11	26	content
investiční	investiční	lnd94101-006-p1s11	27	content
.	.	lnd94101-006-p1s11	28	None
vypracovaný	Vypracovanou	lnd94101-013-p1s12	1	None
zpráva	zprávu	lnd94101-013-p1s12	2	None
představenstvo	představenstvo	lnd94101-013-p1s12	3	None
a	a	lnd94101-013-p1s12	4	None
dozorčí	dozorčí	lnd94101-013-p1s12	5	None
rada	rada	lnd94101-013-p1s12	6	None
projednat	projednaly	lnd94101-013-p1s12	7	None
a	a	lnd94101-013-p1s12	8	None
představenstvo	představenstvo	lnd94101-013-p1s12	9	None
pověřit	pověřilo	lnd94101-013-p1s12	10	None
generální	generálního	lnd94101-013-p1s12	11	None
ředitel	ředitele	lnd94101-013-p1s12	12	None
k	k	lnd94101-013-p1s12	13	None
další	dalšímu	lnd94101-013-p1s12	14	None
jednání	jednání	lnd94101-013-p1s12	15	None
s	s	lnd94101-013-p1s12	16	None
FNM	FNM	lnd94101-013-p1s12	17	None
v	ve	lnd94101-013-p1s12	18	None
věc	věci	lnd94101-013-p1s12	19	None
převzetí	převzetí	lnd94101-013-p1s12	20	None
zaměstnanecký	zaměstnaneckých	lnd94101-013-p1s12	21	None
akcie	akcií	lnd94101-013-p1s12	22	None
dle	dle	lnd94101-013-p1s12	23	None
schválený	schváleného	lnd94101-013-p1s12	24	None
privatizační	privatizačního	lnd94101-013-p1s12	25	None
projekt	projektu	lnd94101-013-p1s12	26	None
.	.	lnd94101-013-p1s12	27	None
""""	""""	lnd94101-013-p1s12	28	None
podle	Podle	lnd94101-017-p1s12	1	None
ředitel	ředitele	lnd94101-017-p1s12	2	None
pražský	pražského	lnd94101-017-p1s12	3	source
úřad	úřadu	lnd94101-017-p1s12	4	source
vyšetřování	vyšetřování	lnd94101-017-p1s12	5	source
R	R	lnd94101-017-p1s12	6	source
.	.	lnd94101-017-p1s12	7	source
Maleček	Malečka	lnd94101-017-p1s12	8	source
se	se	lnd94101-017-p1s12	9	None
však	však	lnd94101-017-p1s12	10	None
zatím	zatím	lnd94101-017-p1s12	11	None
potvrdit	nepotvrdily	lnd94101-017-p1s12	12	None
signál	signály	lnd94101-017-p1s12	13	None
,	,	lnd94101-017-p1s12	14	None
že	že	lnd94101-017-p1s12	15	content
být	by	lnd94101-017-p1s12	16	content
v	v	lnd94101-017-p1s12	17	content
Praha	Praze	lnd94101-017-p1s12	18	content
existovat	existovala	lnd94101-017-p1s12	19	content
organizace	organizace	lnd94101-017-p1s12	20	content
,	,	lnd94101-017-p1s12	21	content
který	která	lnd94101-017-p1s12	22	content
být	by	lnd94101-017-p1s12	23	content
se	se	lnd94101-017-p1s12	24	content
vražda	vraždami	lnd94101-017-p1s12	25	content
na	na	lnd94101-017-p1s12	26	content
objednávka	objednávku	lnd94101-017-p1s12	27	content
zabývat	zabývala	lnd94101-017-p1s12	28	content
.	.	lnd94101-017-p1s12	29	None
""""	""""	lnd94101-032-p1s3B	1	content
když	Když	lnd94101-032-p1s3B	2	content
být	by	lnd94101-032-p1s3B	3	content
se	se	lnd94101-032-p1s3B	4	content
tak	tak	lnd94101-032-p1s3B	5	content
mít	mělo	lnd94101-032-p1s3B	6	content
stát	stát	lnd94101-032-p1s3B	7	content
,	,	lnd94101-032-p1s3B	8	content
potom	potom	lnd94101-032-p1s3B	9	content
být	je	lnd94101-032-p1s3B	10	content
otázka	otázka	lnd94101-032-p1s3B	11	content
,	,	lnd94101-032-p1s3B	12	content
zda	zda	lnd94101-032-p1s3B	13	content
slovenský	slovenská	lnd94101-032-p1s3B	14	content
strana	strana	lnd94101-032-p1s3B	15	content
nadále	nadále	lnd94101-032-p1s3B	16	content
chtít	chce	lnd94101-032-p1s3B	17	content
celní	celní	lnd94101-032-p1s3B	18	content
unie	unii	lnd94101-032-p1s3B	19	content
nebo	nebo	lnd94101-032-p1s3B	20	content
zóna	zónu	lnd94101-032-p1s3B	21	content
volný	volného	lnd94101-032-p1s3B	22	content
obchod	obchodu	lnd94101-032-p1s3B	23	content
,	,	lnd94101-032-p1s3B	24	content
""""	""""	lnd94101-032-p1s3B	25	content
poznamenat	poznamenal	lnd94101-032-p1s3B	26	cue
.	.	lnd94101-032-p1s3B	27	None
krátce	Krátce	lnd94101-089-p1s2A	1	None
po	po	lnd94101-089-p1s2A	2	None
čtvrtý	čtvrté	lnd94101-089-p1s2A	3	None
však	však	lnd94101-089-p1s2A	4	None
v	v	lnd94101-089-p1s2A	5	None
hotel	hotelu	lnd94101-089-p1s2A	6	None
dolomit	Dolomiti	lnd94101-089-p1s2A	7	None
zazvonit	zazvonil	lnd94101-089-p1s2A	8	None
telefon	telefon	lnd94101-089-p1s2A	9	None
a	a	lnd94101-089-p1s2A	10	None
vedoucí	vedoucí	lnd94101-089-p1s2A	11	source
výprava	výpravy	lnd94101-089-p1s2A	12	source
Jaroslav	Jaroslav	lnd94101-089-p1s2A	13	source
Pouzar	Pouzar	lnd94101-089-p1s2A	14	source
a	a	lnd94101-089-p1s2A	15	None
lakonicky	lakonicky	lnd94101-089-p1s2A	16	None
oznámit	oznámil	lnd94101-089-p1s2A	17	cue
,	,	lnd94101-089-p1s2A	18	None
že	že	lnd94101-089-p1s2A	19	content
auto	auto	lnd94101-089-p1s2A	20	content
vypovědět	vypovědělo	lnd94101-089-p1s2A	21	content
služba	službu	lnd94101-089-p1s2A	22	content
.	.	lnd94101-089-p1s2A	23	None
po	Po	lnd94103-079-p1s3	1	None
""""	""""	lnd94103-079-p1s3	2	None
bezstarostný	bezstarostných	lnd94103-079-p1s3	3	None
""""	""""	lnd94103-079-p1s3	4	None
čas	časech	lnd94103-079-p1s3	5	None
narazit	narazily	lnd94103-079-p1s3	6	None
na	na	lnd94103-079-p1s3	7	None
tento	tento	lnd94103-079-p1s3	8	None
problém	problém	lnd94103-079-p1s3	9	None
i	i	lnd94103-079-p1s3	10	None
postkomunistický	postkomunistické	lnd94103-079-p1s3	11	None
stát	státy	lnd94103-079-p1s3	12	None
a	a	lnd94103-079-p1s3	13	None
k	k	lnd94103-079-p1s3	14	None
jeho	jeho	lnd94103-079-p1s3	15	None
rychlý	rychlému	lnd94103-079-p1s3	16	None
řešení	řešení	lnd94103-079-p1s3	17	None
tlačit	tlačí	lnd94103-079-p1s3	18	None
jeho	jejich	lnd94103-079-p1s3	19	None
vláda	vlády	lnd94103-079-p1s3	20	None
i	i	lnd94103-079-p1s3	21	None
světový	Světová	lnd94103-079-p1s3	22	None
banka	banka	lnd94103-079-p1s3	23	None
.	.	lnd94103-079-p1s3	24	None
v	V	lnd94103-087-p1s90	1	None
život	životě	lnd94103-087-p1s90	2	None
pak	pak	lnd94103-087-p1s90	3	None
přijít	přišly	lnd94103-087-p1s90	4	None
různý	různé	lnd94103-087-p1s90	5	None
zlom	zlomy	lnd94103-087-p1s90	6	None
.	.	lnd94103-087-p1s90	7	None
z	Ze	lnd94103-093-p1s11	1	None
145	145	lnd94103-093-p1s11	2	None
kompaktní	kompaktních	lnd94103-093-p1s11	3	None
disk	disků	lnd94103-093-p1s11	4	None
posuzovaný	posuzovaných	lnd94103-093-p1s11	5	None
v	v	lnd94103-093-p1s11	6	None
uplynulý	uplynulém	lnd94103-093-p1s11	7	None
období	období	lnd94103-093-p1s11	8	None
recenzent	recenzenty	lnd94103-093-p1s11	9	None
harmonie	Harmonie	lnd94103-093-p1s11	10	None
získat	získalo	lnd94103-093-p1s11	11	None
vysoký	nejvyšší	lnd94103-093-p1s11	12	None
hodnocení	hodnocení	lnd94103-093-p1s11	13	None
(	(	lnd94103-093-p1s11	14	None
čtyři	čtyři	lnd94103-093-p1s11	15	None
hodina	H	lnd94103-093-p1s11	16	None
)	)	lnd94103-093-p1s11	17	None
53	53	lnd94103-093-p1s11	18	None
.	.	lnd94103-093-p1s11	19	None
""""	""""	lnd94104-005-p1s5	1	content
chtít	Nechceme	lnd94104-005-p1s5	2	content
se	se	lnd94104-005-p1s5	3	content
řadit	řadit	lnd94104-005-p1s5	4	content
mezi	mezi	lnd94104-005-p1s5	5	content
draveček	dravečky	lnd94104-005-p1s5	6	content
vytvářející	vytvářející	lnd94104-005-p1s5	7	content
opozice	opozici	lnd94104-005-p1s5	8	content
za	za	lnd94104-005-p1s5	9	content
každý	každou	lnd94104-005-p1s5	10	content
cena	cenu	lnd94104-005-p1s5	11	content
""""	""""	lnd94104-005-p1s5	12	content
,	,	lnd94104-005-p1s5	13	cue
konstatovat	konstatoval	lnd94104-005-p1s5	14	cue
.	.	lnd94104-005-p1s5	15	None
""""	""""	lnd94104-029-p1s9	1	content
proto	Proto	lnd94104-029-p1s9	2	content
NATO	NATO	lnd94104-029-p1s9	3	content
muset	musí	lnd94104-029-p1s9	4	content
úzce	úzce	lnd94104-029-p1s9	5	content
spolupracovat	spolupracovat	lnd94104-029-p1s9	6	content
s	se	lnd94104-029-p1s9	7	content
západoevropský	Západoevropskou	lnd94104-029-p1s9	8	content
unie	unií	lnd94104-029-p1s9	9	content
,	,	lnd94104-029-p1s9	10	content
""""	""""	lnd94104-029-p1s9	11	content
dodat	dodal	lnd94104-029-p1s9	12	cue
předseda	předseda	lnd94104-029-p1s9	13	source
.	.	lnd94104-029-p1s9	14	None
ministr	Ministr	lnd94104-041-p1s13B	1	source
Vodička	Vodička	lnd94104-041-p1s13B	2	source
sdělit	sdělil	lnd94104-041-p1s13B	3	cue
,	,	lnd94104-041-p1s13B	4	None
že	že	lnd94104-041-p1s13B	5	content
požádat	požádal	lnd94104-041-p1s13B	6	content
